"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.03.2017","51,81","51,50","52,15","51,36","327,90K","1,75%"
"14.03.2017","50,92","51,34","51,86","50,25","411,63K","-0,84%"
"13.03.2017","51,35","51,49","51,70","50,85","276,76K","-0,04%"
"10.03.2017","51,37","52,33","53,02","51,14","351,34K","-1,57%"
"09.03.2017","52,19","53,49","53,86","51,50","504,12K","-1,73%"
"08.03.2017","53,11","55,63","55,77","52,93","444,13K","-5,03%"
"07.03.2017","55,92","55,95","56,65","55,56","269,52K","-0,16%"
"06.03.2017","56,01","55,80","56,25","55,32","224,20K","0,20%"
"03.03.2017","55,90","55,18","55,95","55,09","248,71K","1,49%"
"02.03.2017","55,08","56,31","56,44","55,03","350,12K","-2,27%"
"01.03.2017","56,36","56,45","57,05","56,24","261,74K","1,39%"
"28.02.2017","55,59","56,02","56,15","55,23","28,35K","-0,61%"
"27.02.2017","55,93","55,96","56,77","55,86","139,29K","-0,11%"
"24.02.2017","55,99","56,40","56,66","55,74","164,96K","-1,04%"
"23.02.2017","56,58","56,20","57,26","56,18","223,59K","1,33%"
"22.02.2017","55,84","56,74","57,01","55,64","245,16K","-1,45%"
"21.02.2017","56,66","56,17","57,31","56,10","335,44K","0,85%"
"20.02.2017","56,18","55,90","56,42","55,70","209,63K","0,66%"
"17.02.2017","55,81","55,73","55,88","55,10","270,49K","0,29%"
"16.02.2017","55,65","55,74","56,24","55,13","310,84K","-0,18%"
"15.02.2017","55,75","55,82","56,25","55,56","272,52K","-0,39%"
"14.02.2017","55,97","55,75","56,46","55,53","254,98K","0,68%"
"13.02.2017","55,59","56,68","56,81","55,41","234,31K","-1,96%"
"10.02.2017","56,70","55,66","56,88","55,59","284,71K","1,92%"
"09.02.2017","55,63","55,30","55,92","55,23","263,40K","0,93%"
"08.02.2017","55,12","54,50","55,68","54,44","409,83K","0,13%"
"07.02.2017","55,05","55,91","55,98","54,58","317,18K","-1,20%"
"06.02.2017","55,72","56,85","57,13","55,65","252,70K","-1,92%"
"03.02.2017","56,81","56,92","57,30","56,39","264,76K","0,44%"
"02.02.2017","56,56","56,53","57,45","56,33","297,35K","-0,42%"
"01.02.2017","56,80","55,55","56,83","55,36","301,24K","1,97%"
"31.01.2017","55,70","55,25","56,00","54,90","28,80K","0,85%"
"30.01.2017","55,23","55,47","55,70","54,97","104,90K","-0,52%"
"27.01.2017","55,52","56,09","56,50","54,86","142,07K","-1,28%"
"26.01.2017","56,24","55,39","56,55","55,21","265,72K","2,11%"
"25.01.2017","55,08","55,24","55,65","54,75","275,73K","-0,65%"
"24.01.2017","55,44","55,42","55,87","55,07","254,89K","0,38%"
"23.01.2017","55,23","55,70","55,75","54,65","305,85K","-0,47%"
"20.01.2017","55,49","54,33","55,80","54,18","293,54K","2,46%"
"19.01.2017","54,16","54,29","54,77","53,90","346,87K","0,45%"
"18.01.2017","53,92","55,48","55,90","53,77","360,15K","-2,79%"
"17.01.2017","55,47","55,74","56,95","55,40","335,73K","-0,70%"
"16.01.2017","55,86","55,64","55,92","55,19","112,58K","0,74%"
"13.01.2017","55,45","56,00","56,21","55,28","247,09K","-1,00%"
"12.01.2017","56,01","55,19","56,43","55,01","331,63K","1,65%"
"11.01.2017","55,10","53,80","55,67","53,70","419,90K","2,72%"
"10.01.2017","53,64","54,95","55,36","53,58","332,98K","-2,37%"
"09.01.2017","54,94","56,81","57,00","54,74","266,39K","-3,78%"
"06.01.2017","57,10","56,88","57,47","56,28","234,87K","0,37%"
"05.01.2017","56,89","56,35","57,35","56,01","269,61K","0,76%"
"04.01.2017","56,46","55,73","56,55","55,33","282,55K","1,78%"
"03.01.2017","55,47","57,05","58,37","55,30","340,82K","-2,38%"
